"study","PITCH_F0SD_HC_M","PITCH_F0_HC_M","PITCH_F0SD_HC_SD","PITCH_F0_HC_SD","SAMPLE_SIZE_HC","PITCH_F0SD_SZ_M","PITCH_F0_SZ_M","PITCH_F0SD_SZ_SD","PITCH_F0_SZ_SD","SAMPLE_SIZE_SZ","yi","vi","yiSD","viSD"
"1",24.6637723290669,146.729790866506,15.7985231217762,51.0364540227908,352,21.6805343666496,154.344278728415,29.5419592950506,54.7480917159814,335,0.143841224743512,0.00584104215877601,-0.12667221203873,0.0058376619195963
"2",28.9763260612194,122.484703108013,20.4890091557323,34.7615383529152,184,25.993088098802,130.099190969922,47.3645622052455,60.5030460691229,182,0.154220400157423,0.0109617798133442,-0.0817377988554479,0.0109384152449522
"4",24.2824806684417,151.996760457435,21.3167247016682,46.6226735018543,128,21.2992427060244,159.611248319344,12.5760398567416,46.6558730671623,158,0.162825704161349,0.0141879639414206,-0.174528297573024,0.014194865893725
